Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
M. Neuer,FC Bayern München,0,1,,0,0,1980,0.0,,0.0181,
S. Ulreich,FC Bayern München,0,0,,0,0,90,0.0,,0.0,
J. Grahl,Eintracht Frankfurt,0,0,,0,0,0,0.0,,0.0,
P. Pervan,VfL Wolfsburg,0,0,,0,0,0,0.0,,0.0,
P. Gulácsi,RB Leipzig,0,0,,0,0,2632,0.0,,0.0067,
O. Baumann,TSG Hoffenheim,0,1,,0,0,2520,0.0,,0.627,
D. Batz,1. FSV Mainz 05,0,0,,0,0,0,0.0,,0.0,
T. Horn,VfL Bochum 1848,0,0,,0,0,1170,0.0,,0.055,
P. Drewes,Borussia Dortmund,0,0,,0,0,1800,0.0,,0.0056,
M. Müller,VfL Wolfsburg,0,0,,0,0,474,0.0,,0.0096,
F. Rønnow,1. FC Union Berlin,0,0,1.0,0,0,2430,0.0943,0.094,0.0791,
A. Meyer,Borussia Dortmund,0,0,,0,0,180,0.0,,0.0321,
N. Lomb,Bayer 04 Leverkusen,0,0,,0,0,0,0.0,,0.0,
C. Klaus,1. FC Union Berlin,0,0,,0,0,0,0.0,,0.0,
L. Zingerle,RB Leipzig,0,0,,0,0,0,0.0,,0.0,
F. Bredlow,VfB Stuttgart,0,0,,0,0,0,0.0,,0.0,
J. Huth,SC Freiburg,0,0,,0,0,0,0.0,,0.0,
R. Zentner,1. FSV Mainz 05,0,1,1.0,0,0,2880,0.0112,0.011,0.2016,
M. Zetterer,Eintracht Frankfurt,0,0,,0,0,3060,0.0,,0.0877,
G. Kobel,Borussia Dortmund,0,0,,0,0,2880,0.0,,0.0,
J. Omlin,Bayer 04 Leverkusen,0,0,,0,0,979,0.0,,0.0,
M. Nicolas,Borussia M'gladbach,0,0,,0,0,1640,0.0,,0.0,
A. Nübel,VfB Stuttgart,1,1,,0,0,3060,0.0,,0.1278,
F. Dahmen,FC Augsburg,0,0,,0,0,1710,0.0,,0.0194,
F. Müller,SC Freiburg,0,0,,0,0,752,0.0,,0.0353,
K. Grabara,VfL Wolfsburg,0,0,,0,0,2586,0.0,,0.0978,
D. Klein,FC Augsburg,0,0,,0,0,0,0.0,,0.0,
S. Drljača,VfB Stuttgart,0,0,,0,0,0,0.0,,0.0,
M. Vandevoordt,RB Leipzig,0,0,,0,0,428,0.0,,0.0,
L. Philipp,TSG Hoffenheim,0,0,,0,0,540,0.0,,0.0067,
N. Labrović,FC Augsburg,0,0,,0,0,1350,0.0,,0.068,
N. Atubolu,SC Freiburg,0,0,,0,0,2308,0.0,,0.048,
D. Peretz,FC Bayern München,0,0,,0,0,270,0.0,,0.0,
L. Riess,1. FSV Mainz 05,0,0,,0,0,180,0.0,,0.0162,
J. Urbig,FC Bayern München,0,0,,0,0,720,0.0,,0.1321,
K. Santos,Eintracht Frankfurt,0,0,,0,0,765,0.0,,0.0,
TPT. Pereira Cardoso,Borussia M'gladbach,0,0,,0,0,379,0.0,,0.0,
A. Šiljević,Eintracht Frankfurt,0,0,,0,0,0,0.0,,0.0,
